initials,date,course_id,time(m),summary
TA,1/9/23,DS-160,15,"installed all needed software, started study time sheet"
TA,1/9/23,HONR-353H,69,"answered emails, finished Module 0, almost finished module 1"
TA,1/9/23,ECON-111,75,chapter 3 read and do hw
TA,1/10/23,BUSA-245,20,finished lab 1
TA,1/11/23,DS-160,30,finished assignment 1
TA,1/11/23,BUSA-245,10,started lab 2
TA,1/15/23,HONR-353H,20,finished module 1
TA,1/17/23,HONR-353H,10,start modue 2
TA,1/22/23,ECON-111,60,homework chapter 4
TA,1/23/23,HONR-353H,90,500 words on thesis
TA,1/25/23,HONR-320H,90,Quiz on argentina movie
TA,1/29/23,HONR-320H,30,
TA,1/29/23,ECON-111,60,
TA,,,,
TA,,,,
TA,,,,
TA,,,,
TA,,,,
TA,,,,
TA,,,,
TA,,,,